,time,mass
0,0.0,45.81792440218748
1,0.001,45.81623310340623
2,0.002,45.814540908833386
3,0.003,45.812848803521184
4,0.004,45.811156752832616
5,0.005,45.809464757084854
6,0.006,45.8077728154051
7,0.007,45.80608092702059
8,0.008,45.804389091236864
9,0.009,45.8026973074478
10,0.01,45.801005575136806
11,0.011,45.799313893873716
12,0.012,45.797622263309236
13,0.013,45.79593068316795
14,0.014,45.794239153240625
15,0.015,45.79254767337646
16,0.016,45.790856243475474
17,0.017,45.78916486348123
18,0.018,45.78747353337416
19,0.019,45.78578225316545
20,0.02,45.78409102289157
21,0.021,45.782399842609394
22,0.022,45.78070871239195
23,0.023,45.779017632324795
24,0.024,45.77732660250285
25,0.025,45.775635623027725
26,0.026,45.77394469400555
27,0.027,45.772253815545085
28,0.028,45.77056298775629
29,0.029,45.76887221074908
30,0.03,45.76718148463237
31,0.031,45.76549080951337
32,0.032,45.763800185497026
33,0.033,45.76210961268558
34,0.034,45.76041909117832
35,0.035,45.758728621071384
36,0.036,45.757038202457665
37,0.037,45.75534783542675
38,0.038,45.75365752006497
39,0.039,45.75196725645543
40,0.04,45.75027704467808
41,0.041,45.74858688480983
42,0.042,45.74689677692466
43,0.043,45.74520672109375
44,0.044,45.743516717385596
45,0.045,45.74182676586615
46,0.046,45.740136866598945
47,0.047,45.73844701964521
48,0.048,45.736757225064025
49,0.049,45.73506748291241
50,0.05,45.73337779324545
51,0.051,45.731688156116384
52,0.052,45.729998571576736
53,0.053,45.72830903967638
54,0.054,45.72661956046365
55,0.055,45.72493013398539
56,0.056,45.72324076028707
57,0.057,45.72155143941284
58,0.058,45.7198621714056
59,0.059,45.718172956307036
60,0.06,45.7164837941577
61,0.061,45.71479468499709
62,0.062,45.71310562886363
63,0.063,45.71141662579478
64,0.064,45.70972767582705
65,0.065,45.708038778996034
66,0.066,45.70634993533646
67,0.067,45.70466114488224
68,0.068,45.70297240766643
69,0.069,45.70128372372137
70,0.07,45.69959509307861
71,0.071,45.697906515769006
72,0.072,45.69621799182269
73,0.073,45.69452952126916
74,0.074,45.69284110413722
75,0.075,45.691152740455074
76,0.076,45.6894644302503
77,0.077,45.68777617354987
78,0.078,45.686087970380214
79,0.079,45.68439982076717
80,0.08,45.68271172473604
81,0.081,45.681023682311604
82,0.082,45.67933569351811
83,0.083,45.67764775837933
84,0.084,45.67595987691852
85,0.085,45.67427204915847
86,0.086,45.6725842751215
87,0.087,45.6708965548295
88,0.088,45.669208888303864
89,0.089,45.667521275565605
90,0.09,45.665833716635305
91,0.091,45.664146211533094
92,0.092,45.662458760278746
93,0.093,45.660771362891616
94,0.094,45.659084019390676
95,0.095,45.65739672979451
96,0.096,45.65570949412136
97,0.097,45.65402231238909
98,0.098,45.65233518461519
99,0.099,45.65064811081684
100,0.1,45.64896109101085
101,0.101,45.6472941319486
102,0.102,45.645626323199416
103,0.103,45.643958476908345
104,0.104,45.64229056405347
105,0.105,45.640622587889226
106,0.106,45.63895455036823
107,0.107,45.637286453434456
108,0.108,45.635618298976034
109,0.109,45.633950088829295
110,0.11,45.632281824780776
111,0.111,45.63061350856922
112,0.112,45.628945141887385
113,0.113,45.62727672638387
114,0.114,45.62560826366473
115,0.115,45.62393975529507
116,0.116,45.62227120280059
117,0.117,45.62060260766899
118,0.118,45.61893397135135
119,0.119,45.6172652952634
120,0.12,45.615596580786786
121,0.121,45.61392782927026
122,0.122,45.612259042030765
123,0.123,45.61059022035455
124,0.124,45.608921365498176
125,0.125,45.607252478689496
126,0.126,45.6055835611286
127,0.127,45.60391461398871
128,0.128,45.60224563841706
129,0.129,45.60057663553566
130,0.13,45.598907606442154
131,0.131,45.59723855221054
132,0.132,45.59556947389188
133,0.133,45.59390037251504
134,0.134,45.5922312490873
135,0.135,45.59056210459506
136,0.136,45.5888929400044
137,0.137,45.5872237562617
138,0.138,45.58555455429421
139,0.139,45.583885335010585
140,0.14,45.582216099301405
141,0.141,45.58054684803974
142,0.142,45.57887758208153
143,0.143,45.57720830226616
144,0.144,45.57553900941687
145,0.145,45.57386970434118
146,0.146,45.572200387831344
147,0.147,45.57053106066472
148,0.148,45.5688617236042
149,0.149,45.56719237739856
150,0.15,45.56552302278285
151,0.151,45.563853660478706
152,0.152,45.562184291194754
153,0.153,45.56051491562689
154,0.154,45.55884553445861
155,0.155,45.557176148361336
156,0.156,45.55550675799469
157,0.157,45.553837364006824
158,0.158,45.55216796703464
159,0.159,45.5504985677041
160,0.16,45.5488291666305
161,0.161,45.54715976441867
162,0.162,45.5454903616633
163,0.163,45.54382095894909
164,0.164,45.54215155685107
165,0.165,45.540482155934725
166,0.166,45.538812756756315
167,0.167,45.537143359863016
168,0.168,45.535473965793145
169,0.169,45.53380457507639
170,0.17,45.53213518823392
171,0.171,45.530465805778675
172,0.172,45.52879642821547
173,0.173,45.527127056041216
174,0.174,45.52545768974507
175,0.175,45.523788329808596
176,0.176,45.522118976705976
177,0.177,45.52044963090408
178,0.178,45.518780292862715
179,0.179,45.51711096303471
180,0.18,45.515441641866076
181,0.181,45.513772329796154
182,0.182,45.51210302725777
183,0.183,45.510433734677314
184,0.184,45.508764452474935
185,0.185,45.507095181064614
186,0.186,45.50542592085433
187,0.187,45.50375667224615
188,0.188,45.502087435636355
189,0.189,45.500418211415564
190,0.19,45.49874899996884
191,0.191,45.49707980167578
192,0.192,45.495410616910654
193,0.193,45.49374144604247
194,0.194,45.49207228943511
195,0.195,45.4904031474474
